"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","DEATHCANCER","TOT","100000PER","A","1990",261.4,
"AUS","DEATHCANCER","TOT","100000PER","A","1991",262.3,
"AUS","DEATHCANCER","TOT","100000PER","A","1992",261.8,
"AUS","DEATHCANCER","TOT","100000PER","A","1993",261.5,
"AUS","DEATHCANCER","TOT","100000PER","A","1994",265.2,
"AUS","DEATHCANCER","TOT","100000PER","A","1995",256.1,
"AUS","DEATHCANCER","TOT","100000PER","A","1996",257,
"AUS","DEATHCANCER","TOT","100000PER","A","1997",248.8,
"AUS","DEATHCANCER","TOT","100000PER","A","1998",247.7,"B"
"AUS","DEATHCANCER","TOT","100000PER","A","1999",241.7,
"AUS","DEATHCANCER","TOT","100000PER","A","2000",240.5,
"AUS","DEATHCANCER","TOT","100000PER","A","2001",238.8,
"AUS","DEATHCANCER","TOT","100000PER","A","2002",237.2,
"AUS","DEATHCANCER","TOT","100000PER","A","2003",231,
"AUS","DEATHCANCER","TOT","100000PER","A","2004",230.7,
"AUS","DEATHCANCER","TOT","100000PER","A","2006",229.4,
"AUS","DEATHCANCER","TOT","100000PER","A","2007",220.5,
"AUS","DEATHCANCER","TOT","100000PER","A","2008",226,
"AUS","DEATHCANCER","TOT","100000PER","A","2009",218.2,
"AUS","DEATHCANCER","TOT","100000PER","A","2010",219.3,
"AUS","DEATHCANCER","TOT","100000PER","A","2011",216.9,
"AUS","DEATHCANCER","TOT","100000PER","A","2012",209.9,
"AUS","DEATHCANCER","TOT","100000PER","A","2013",209.1,
"AUS","DEATHCANCER","TOT","100000PER","A","2014",204.1,
"AUS","DEATHCANCER","TOT","100000PER","A","2015",207,
"AUS","DEATHCANCER","TOT","100000PER","A","2016",201.2,
"AUS","DEATHCANCER","TOT","100000PER","A","2017",195.7,
"AUS","DEATHCANCER","TOT","100000PER","A","2018",196,
"AUS","DEATHCANCER","TOT","100000PER","A","2019",198.9,
"AUS","DEATHCANCER","TOT","100000PER","A","2020",188,
"AUS","DEATHCANCER","TOT","100000PER","A","2021",190.6,
"AUT","DEATHCANCER","TOT","100000PER","A","1990",283.1,
"AUT","DEATHCANCER","TOT","100000PER","A","1991",281.1,
"AUT","DEATHCANCER","TOT","100000PER","A","1992",279.7,
"AUT","DEATHCANCER","TOT","100000PER","A","1993",280.1,
"AUT","DEATHCANCER","TOT","100000PER","A","1994",270.3,
"AUT","DEATHCANCER","TOT","100000PER","A","1995",268.9,
"AUT","DEATHCANCER","TOT","100000PER","A","1996",261.8,
"AUT","DEATHCANCER","TOT","100000PER","A","1997",260.3,
"AUT","DEATHCANCER","TOT","100000PER","A","1998",255,
"AUT","DEATHCANCER","TOT","100000PER","A","1999",252.2,
"AUT","DEATHCANCER","TOT","100000PER","A","2000",249.2,
"AUT","DEATHCANCER","TOT","100000PER","A","2001",242,
"AUT","DEATHCANCER","TOT","100000PER","A","2002",239.7,"B"
"AUT","DEATHCANCER","TOT","100000PER","A","2003",245,
"AUT","DEATHCANCER","TOT","100000PER","A","2004",242.4,
"AUT","DEATHCANCER","TOT","100000PER","A","2005",235.4,
"AUT","DEATHCANCER","TOT","100000PER","A","2006",230.2,
"AUT","DEATHCANCER","TOT","100000PER","A","2007",224.8,
"AUT","DEATHCANCER","TOT","100000PER","A","2008",230.3,
"AUT","DEATHCANCER","TOT","100000PER","A","2009",224.5,
"AUT","DEATHCANCER","TOT","100000PER","A","2010",221.6,
"AUT","DEATHCANCER","TOT","100000PER","A","2011",220.5,
"AUT","DEATHCANCER","TOT","100000PER","A","2012",219.5,
"AUT","DEATHCANCER","TOT","100000PER","A","2013",214.4,
"AUT","DEATHCANCER","TOT","100000PER","A","2014",214.4,
"AUT","DEATHCANCER","TOT","100000PER","A","2015",208.9,
"AUT","DEATHCANCER","TOT","100000PER","A","2016",203.7,
"AUT","DEATHCANCER","TOT","100000PER","A","2017",200.9,
"AUT","DEATHCANCER","TOT","100000PER","A","2018",200.8,
"AUT","DEATHCANCER","TOT","100000PER","A","2019",196.6,
"AUT","DEATHCANCER","TOT","100000PER","A","2020",196.6,
"AUT","DEATHCANCER","TOT","100000PER","A","2021",191.9,
"BEL","DEATHCANCER","TOT","100000PER","A","1990",301.5,
"BEL","DEATHCANCER","TOT","100000PER","A","1991",299.3,
"BEL","DEATHCANCER","TOT","100000PER","A","1992",300,
"BEL","DEATHCANCER","TOT","100000PER","A","1993",301.3,
"BEL","DEATHCANCER","TOT","100000PER","A","1994",298.7,
"BEL","DEATHCANCER","TOT","100000PER","A","1995",298.7,
"BEL","DEATHCANCER","TOT","100000PER","A","1996",288.8,
"BEL","DEATHCANCER","TOT","100000PER","A","1997",290.1,
"BEL","DEATHCANCER","TOT","100000PER","A","1998",281.2,"B"
"BEL","DEATHCANCER","TOT","100000PER","A","1999",272.5,
"BEL","DEATHCANCER","TOT","100000PER","A","2000",263.3,
"BEL","DEATHCANCER","TOT","100000PER","A","2001",259.9,
"BEL","DEATHCANCER","TOT","100000PER","A","2002",257.8,
"BEL","DEATHCANCER","TOT","100000PER","A","2003",250,
"BEL","DEATHCANCER","TOT","100000PER","A","2004",244.8,
"BEL","DEATHCANCER","TOT","100000PER","A","2005",245.2,
"BEL","DEATHCANCER","TOT","100000PER","A","2006",239.8,
"BEL","DEATHCANCER","TOT","100000PER","A","2007",239.3,
"BEL","DEATHCANCER","TOT","100000PER","A","2008",241,
"BEL","DEATHCANCER","TOT","100000PER","A","2009",235.2,
"BEL","DEATHCANCER","TOT","100000PER","A","2010",235.9,
"BEL","DEATHCANCER","TOT","100000PER","A","2011",232.2,
"BEL","DEATHCANCER","TOT","100000PER","A","2012",225,
"BEL","DEATHCANCER","TOT","100000PER","A","2013",222.9,
"BEL","DEATHCANCER","TOT","100000PER","A","2014",216.9,
"BEL","DEATHCANCER","TOT","100000PER","A","2015",214.8,
"BEL","DEATHCANCER","TOT","100000PER","A","2016",210.9,
"BEL","DEATHCANCER","TOT","100000PER","A","2017",204.1,
"BEL","DEATHCANCER","TOT","100000PER","A","2018",196.9,
"CAN","DEATHCANCER","TOT","100000PER","A","1990",279.5,
"CAN","DEATHCANCER","TOT","100000PER","A","1991",278.4,
"CAN","DEATHCANCER","TOT","100000PER","A","1992",271.5,
"CAN","DEATHCANCER","TOT","100000PER","A","1993",270.9,
"CAN","DEATHCANCER","TOT","100000PER","A","1994",269.7,
"CAN","DEATHCANCER","TOT","100000PER","A","1995",265.1,
"CAN","DEATHCANCER","TOT","100000PER","A","1996",269.4,
"CAN","DEATHCANCER","TOT","100000PER","A","1997",260.9,
"CAN","DEATHCANCER","TOT","100000PER","A","1998",262.9,
"CAN","DEATHCANCER","TOT","100000PER","A","1999",261.7,
"CAN","DEATHCANCER","TOT","100000PER","A","2000",259.4,"B"
"CAN","DEATHCANCER","TOT","100000PER","A","2001",258.7,
